species_name,is_wild,is_domestic,is_aquatic,causal_agent_type,country_name,latitude,longitude,month,season,susceptible,epi_unit_type,disease_name
Rainbow trout,0,0,1,Virus,Finland,60.213,19.627,June,Monsoon,350000,Farm,Infectious haematopoietic necrosis virus
Wild boar,1,0,0,Virus,Russia,51.84,127.11,February,Winter,0,Not applicable,Classical swine fever
Sheep,0,0,0,Virus,Russia,57.7045,39.3539,September,Monsoon,952,Backyard,Sheep pox and goat pox
Birds,0,1,0,Virus,China (People's Rep. of),35.78,115.07,June,Monsoon,264482,Not applicable,Low pathogenic avian influenza
Black Goshawk,1,0,0,Virus,South Africa,-32.8,18.1,September,Monsoon,0,Farm,Highly pathogenic avian influenza
Wild boar,1,0,0,Virus,Hungary,48.4844,20.6861,June,Monsoon,0,Forest,African swine fever
Eurasian Wigeon,1,0,0,Virus,Norway,60.77168,4.73006,December,Winter,0,Other,Highly pathogenic avian influenza
Swine,0,0,0,Virus,Ukraine,48.2891,34.8543,November,Post-Monsoon,27,Backyard,African swine fever
Yellow-crowned Parrot,1,0,0,Virus,Colombia,1.19676,-77.27112,February,Winter,2,Backyard,Highly pathogenic avian influenza
Wild boar,1,0,0,Virus,Moldova,48.3042,26.7601,January,Winter,0,Forest,African swine fever
Wild boar,1,0,0,Virus,Moldova,45.83498,28.18452,October,Post-Monsoon,0,Forest,African swine fever
Wild boar,1,0,0,Virus,Russia,54.41231,51.291374,October,Post-Monsoon,0,Forest,African swine fever
Birds,0,1,0,Virus,Mexico,32.410195,-114.74517,April,Summer,390,Backyard,Newcastle disease
Birds,0,0,0,Virus,Ukraine,50.81,33.41,February,Winter,121,Village,Highly pathogenic avian influenza
Cattle,0,0,0,Bacterium,Kazakhstan,49.1,81.15,June,Monsoon,170,Farm,Anthrax
Cattle,0,0,0,Bacterium,France,44.54083,6.175062,August,Monsoon,1420,Other,Anthrax
Cattle,0,0,0,Virus,Israel,33.2070531679,35.6020926445,October,Post-Monsoon,50,Farm,Bluetongue
Accipitridae (unidentified),1,0,0,Virus,Germany,53.87,10.37,December,Winter,0,Not applicable,Highly pathogenic avian influenza
Birds,0,1,0,Virus,Australia,-37.9667,144.1333,August,Monsoon,435378,Farm,Highly pathogenic avian influenza
Camelidae,0,0,0,Virus,Mongolia,47.6422,114.7578,June,Monsoon,29,Farm,Foot and mouth disease
Cattle,0,0,0,Virus,Russia,50.39226,119.11625,January,Winter,164,Village,Foot and mouth disease
Hippopotamus,1,0,0,Bacterium,Zambia,-11.2266,32.9951,September,Monsoon,200,Not applicable,Anthrax
Cattle,0,0,0,Virus,Gambia,13.766122,-14.913031,July,Monsoon,2700,Village,Foot and mouth disease
Dogs,0,0,0,Virus,Armenia,39.2045,46.462,August,Monsoon,1,Backyard,Rabies
Birds,0,1,0,Virus,Iran,37.23752,49.66177,December,Winter,37349,Village,Highly pathogenic avian influenza
Wildlife (species unspecified),1,0,0,Virus,Spain,42.8619,-2.6503,June,Monsoon,1,Not applicable,Highly pathogenic avian influenza
Canada Goose,1,0,0,Virus,Finland,60.1667,20.0097,November,Post-Monsoon,0,Not applicable,Highly pathogenic avian influenza
Birds,0,1,0,Virus,Austria,48.06,14.44,November,Post-Monsoon,645,Farm,Highly pathogenic avian influenza
Cattle,0,0,0,Bacterium,Hungary,46.88236752966033,21.54799347074029,October,Post-Monsoon,0,Farm,Anthrax
Sheep/goats (mixed herd),0,0,0,Virus,Kyrgyzstan,41.83,72.85,February,Winter,533,Village,Sheep pox and goat pox
Birds,0,0,0,Virus,Poland,49.69222,19.18483,February,Winter,97,Body of water,Highly pathogenic avian influenza
Northern Goshawk,1,0,0,Virus,Japan,44.0205,144.2735,March,Summer,0,Not applicable,Highly pathogenic avian influenza
Mute Swan,1,0,0,Virus,Ukraine,46.0745,34.7953,March,Summer,0,Other,Highly pathogenic avian influenza
Sheep,0,0,0,Virus,Hungary,46.722217,16.415056,January,Winter,3246,Farm,Peste des petits ruminants
Birds,0,1,0,Virus,Germany,49.2101,12.4897,December,Winter,13100,Farm,Low pathogenic avian influenza
Cattle,0,0,0,Virus,Angola,-17.326462,18.346951,April,Summer,3600,Village,Foot and mouth disease
Cattle,0,0,0,Virus,Djibouti,11.5166646,42.0999996,October,Post-Monsoon,312,Village,Lumpy skin disease
Dogs,0,0,0,Virus,Armenia,40.112,44.1588,December,Winter,1,Backyard,Rabies
Sheep,0,0,0,Virus,Egypt,31.0436,30.6129,April,Summer,1203,Village,Peste des petits ruminants
Birds,0,1,0,Virus,Bulgaria,42.4362,26.381,October,Post-Monsoon,373907,Farm,Highly pathogenic avian influenza
Birds,0,1,0,Virus,India,30.56452,77.05438,January,Winter,515531,Farm,Highly pathogenic avian influenza
Dogs,0,0,0,Virus,Melilla,35.2849,-2.9377,June,Monsoon,0,Other,Rabies
Cats,0,0,0,Virus,France,45.54666375,5.53272351,October,Post-Monsoon,2,Not applicable,Rabies
Cattle,0,0,0,Virus,Syria,35.6116,36.1637,April,Summer,182,Farm,Lumpy skin disease
Lesser Black-backed Gull,1,0,0,Virus,Portugal,40.455518,-8.803326,July,Monsoon,0,Not applicable,Highly pathogenic avian influenza
Cats,0,0,0,Virus,Armenia,40.1501,44.5511,June,Monsoon,1,Backyard,Rabies
Equidae,0,0,0,Virus,Germany,48.196483,8.455045,February,Winter,480,Farm,Equine infectious anaemia
Cattle,0,0,0,Bacterium,Kyrgyzstan,40.51,72.8,March,Summer,4,Village,Anthrax
Rabbits,0,0,0,Virus,Norway,59.546,5.417,October,Post-Monsoon,0,Other,Rabbit haemorrhagic disease
Birds,0,1,0,Virus,Bhutan,26.833,89.1136,March,Summer,677,Farm,Highly pathogenic avian influenza
Mallard,1,0,0,Virus,Serbia,44.729903,21.425002,February,Winter,0,Other,Highly pathogenic avian influenza
Birds,0,1,0,Virus,Russia,45.395391,41.517486,February,Winter,186615,Farm,Highly pathogenic avian influenza
Swine,0,0,0,Virus,Chinese Taipei,23.5703307,119.570307,October,Post-Monsoon,200,Not applicable,Foot and mouth disease
Birds,0,0,0,Virus,Russia,46.22,42.543,November,Post-Monsoon,203,Backyard,Highly pathogenic avian influenza
White-tailed Eagle,1,0,0,Virus,Iceland,65.6425,-22.3559,October,Post-Monsoon,0,Not applicable,Highly pathogenic avian influenza
Wild boar,1,0,0,Virus,Ukraine,45.4069,28.289,August,Monsoon,0,Other,African swine fever
Birds,0,0,0,Virus,Iran,36.40691,52.33643,June,Monsoon,25,Village,Highly pathogenic avian influenza
Wild boar,1,0,0,Virus,Germany,53.061,14.3,April,Summer,0,Forest,African swine fever
Birds,0,1,0,Virus,United States of America,34.89,-94.09,June,Monsoon,9800,Farm,Low pathogenic avian influenza
Birds,0,1,0,Virus,Czech Republic,49.5344,13.9767,March,Summer,308332,Backyard,Highly pathogenic avian influenza
Equidae,0,0,0,Bacterium,United States of America,42.9875,-89.3417,October,Post-Monsoon,34,Not applicable,Contagious equine metritis
Birds,0,1,0,Virus,Bulgaria,42.6664,27.2482,May,Summer,27545,Farm,Highly pathogenic avian influenza
Northern Goshawk,1,0,0,Virus,Germany,51.79,11.75,September,Monsoon,4,Other,West Nile Fever
Cattle,0,0,0,Virus,Namibia,-18.03,20.7,September,Monsoon,5567,Village,Foot and mouth disease
Cape fur seal ,1,0,0,Virus,South Africa,-33.8,18.5,May,Summer,0,Other,Rabies
Birds,0,1,0,Virus,Korea (Rep. of),37.0963,127.4842,January,Winter,1397503,Farm,Highly pathogenic avian influenza
Wild boar,1,0,0,Virus,Poland,54.355644,18.399767,April,Summer,0,Not applicable,African swine fever
Wildlife (species unspecified),1,0,0,Virus,China (People's Rep. of),31.5023,92.0477,July,Monsoon,0,Natural park,Highly pathogenic avian influenza
Peregrin falcon,1,0,0,Virus,Hong Kong,22.4296,114.2384,January,Winter,0,Not applicable,Highly pathogenic avian influenza
Swine,0,0,0,Virus,Ukraine,47.755,35.5502,July,Monsoon,71,Backyard,African swine fever
Ostreidae (unidentified),1,0,1,Parasite,Belgium,51.13,2.9,September,Monsoon,0,Coastal area,Bonamia ostreae
Dogs,0,0,0,Virus,Armenia,40.189,43.973,May,Summer,1,Backyard,Rabies
Birds,0,1,0,Virus,Russia,58.500626,41.481995,October,Post-Monsoon,296998,Farm,Highly pathogenic avian influenza
Dogs,0,0,0,Virus,United Kingdom,51.353,-0.493,October,Post-Monsoon,1,Not applicable,SARS-CoV-2 in animals
Equidae,0,0,0,Bacterium,United Kingdom,52.2801,-0.4932,May,Summer,1,Not applicable,Contagious equine metritis
Birds,0,1,0,Virus,Spain,37.4494,-1.9064,July,Monsoon,46380,Farm,Newcastle disease
Wild boar,1,0,0,Virus,France,46.602,3.672652,April,Summer,108,Other,Aujeszky's disease
Birds,0,0,0,Virus,Cambodia,11.44,105.12,January,Winter,232,Village,Highly pathogenic avian influenza
Birds,0,0,0,Virus,France,45.9833333,5.1,February,Winter,11700,Farm,Highly pathogenic avian influenza
Swine,0,0,0,Virus,Vietnam,22.4783,105.8425,June,Monsoon,0,Village,African swine fever
Equidae,0,0,0,Virus,Germany,51.38,12.22,October,Post-Monsoon,4,Backyard,West Nile Fever
Dogs,0,0,0,Virus,Palestine,32.3074,35.1644,May,Summer,1,Not applicable,Rabies
Bees,0,1,0,Bacterium,Belgium,50.96,5.36,August,Monsoon,24,Apiary,European foulbrood of honey bees
Swine,0,0,0,Virus,Mongolia,47.4501,106.3456,March,Summer,691,Farm,Classical swine fever
Birds,0,0,0,Virus,Russia,58.396965,42.381823,July,Monsoon,60,Not applicable,Highly pathogenic avian influenza
Brent Goose,1,0,0,Virus,France,48.7099,-1.5151,March,Summer,0,Not applicable,Highly pathogenic avian influenza
Birds,0,1,0,Virus,Sweden,55.5996,13.2678,March,Summer,281,Farm,Highly pathogenic avian influenza
Swine,0,0,0,Virus,Russia,55.769605,42.221312,June,Monsoon,33,Village,African swine fever
Wild boar,1,0,0,Virus,Hungary,47.500777,18.969602,June,Monsoon,0,Forest,African swine fever
Birds,0,0,0,Virus,Italy,44.880296,11.320428,September,Monsoon,952658,Farm,Highly pathogenic avian influenza
Equidae,0,0,0,Parasite,Netherlands,51.71004,3.73681,August,Monsoon,300,Farm,Equine piroplasmosis
Swine,0,0,0,Virus,Russia,52.916,45.2252,December,Winter,95,Backyard,African swine fever
Wild boar,1,0,0,Virus,Russia,49.486,130.372,June,Monsoon,0,Forest,Classical swine fever
Indian Pond Heron,1,0,0,Virus,India,24.1502,86.6397,February,Winter,0,Not applicable,Highly pathogenic avian influenza
Cattle,0,0,0,Virus,Mozambique,-14.7987,35.9319,October,Post-Monsoon,5340,Village,Foot and mouth disease
Birds,0,1,0,Virus,Poland,52.276,16.672,October,Post-Monsoon,4037331,Farm,Newcastle disease
Birds,0,1,0,Virus,Nepal,27.60725,84.58228,May,Summer,13591,Farm,Highly pathogenic avian influenza
Cattle,0,0,0,Virus,Serbia,42.96331,20.366825,August,Monsoon,672,Backyard,Bluetongue
Sheep,0,0,0,Virus,Portugal,37.903,-7.567,August,Monsoon,234,Farm,Bluetongue
Birds,0,0,0,Virus,Colombia,1.804269,-78.77191,November,Post-Monsoon,1040,Other,Highly pathogenic avian influenza
Red Fox,1,0,0,Virus,Latvia,56.5069,25.892844,July,Monsoon,0,Not applicable,Highly pathogenic avian influenza
Cattle,0,0,0,Bacterium,Armenia,40.1026,45.1866,August,Monsoon,3,Village,Anthrax
Mallard,1,1,0,Virus,Czech Republic,49.44978,13.83123,January,Winter,277,Farm,Highly pathogenic avian influenza
Pacific cupped oyster,1,0,1,Virus,Netherlands,51.6235,3.8532,June,Monsoon,30,Coastal area,Ostreid herpesvirus-1
Dogs,0,0,0,Virus,Armenia,40.151154,44.037595,March,Summer,1,Backyard,Rabies
Birds,0,0,0,Virus,France,50.4954,2.082,September,Monsoon,1500,Farm,Newcastle disease
Birds,0,1,0,Virus,Egypt,31.01,31.32,February,Winter,1000,Farm,Highly pathogenic avian influenza
Equidae,0,0,0,Virus,Costa Rica,10.2159,-83.77803,October,Post-Monsoon,4,Farm,Equine encephalomyelitis
Birds,0,1,0,Virus,Germany,51.89,11.8,December,Winter,20331,Farm,Highly pathogenic avian influenza
Birds,0,0,0,Virus,Switzerland,47.01058,7.01913,November,Post-Monsoon,5000,Farm,Newcastle disease
Yellow-legged Gull,1,0,0,Virus,Portugal,40.636043,-8.727829,July,Monsoon,0,Not applicable,Highly pathogenic avian influenza
Cattle,0,0,0,Virus,France,42.617820857344576,2.495403598623535,November,Post-Monsoon,3520,Farm,Lumpy skin disease
Cattle,0,0,0,Virus,Switzerland,46.87,9.88,December,Winter,21,Farm,Infectious bovine rhinotracheitis/infectious pustular vulvovaginitis
Birds,0,1,0,Virus,Korea (Rep. of),34.6255613,127.191673,December,Winter,685127,Farm,Highly pathogenic avian influenza
Birds,0,0,0,Virus,Korea (Dem People's Rep. of),38.67,125.77,April,Summer,706600,Village,Highly pathogenic avian influenza
Birds,0,0,0,Virus,Greece,40.6392,21.7608,February,Winter,60,Backyard,Highly pathogenic avian influenza
Birds,0,0,0,Virus,Ukraine,49.5056,36.4981,January,Winter,264339,Farm,Newcastle disease
Pacific cupped oyster,0,0,1,Virus,Ireland,53.896,-9.928,August,Monsoon,0,Coastal area,Ostreid herpesvirus-1
Swine,0,0,0,Virus,Indonesia,2.6902,98.9189,September,Monsoon,4807554,Village,African swine fever
Anatidae (unidentified),1,0,0,Virus,Kazakhstan,54.862222,69.140833,September,Monsoon,2,Other,Highly pathogenic avian influenza
White Stork,1,0,0,Virus,Portugal,37.03394,-7.83557,December,Winter,0,Other,Highly pathogenic avian influenza
Wild boar,1,0,0,Virus,Ukraine,47.1646,31.8887,April,Summer,0,Other,African swine fever
Birds,0,1,0,Virus,North Macedonia,42.2669,22.111525,June,Monsoon,60,Backyard,Newcastle disease
Cats,0,0,0,Virus,Argentina,-27.8,-64.2667,October,Post-Monsoon,4,Other,SARS-CoV-2 in animals
Wild boar,1,0,0,Virus,Ukraine,51.298,31.4661,March,Summer,0,Backyard,African swine fever
Birds,0,1,0,Virus,Germany,50.259,10.315,March,Summer,382,Farm,Highly pathogenic avian influenza
Wildlife (species unspecified),1,0,0,Virus,Palestinian Territory,32.46441,35.30059,March,Summer,0,Village,Rabies
Anatidae (unidentified),1,0,0,Virus,Germany,52.55,11.98,December,Winter,0,Not applicable,Highly pathogenic avian influenza
Birds,0,0,0,Virus,Nepal,26.65233889,87.26086389,February,Winter,2000,Farm,Highly pathogenic avian influenza
Hippopotamidae (unidentified),1,0,0,Bacterium,Tanzania,-7.9209,35.9079,September,Monsoon,1365,Natural park,Anthrax
Wild boar,1,0,0,Virus,Ukraine,48.4118,25.52776,January,Winter,0,Forest,African swine fever
Equidae,0,1,0,Virus,Italy,45.522791,10.476867,April,Summer,77,Farm,Equine influenza
Cattle,0,0,0,Bacterium,Kazakhstan,52.3379,76.7332,June,Monsoon,163,Village,Anthrax
Birds,0,1,0,Virus,Slovakia,49.2129,18.52769,December,Winter,13,Backyard,Highly pathogenic avian influenza
Birds,0,1,0,Virus,Mexico,21.3263444,-102.149211,October,Post-Monsoon,1033917,Backyard,Highly pathogenic avian influenza
Accipitridae (unidentified),1,0,0,Virus,Germany,52.57,13.24,February,Winter,0,Not applicable,Highly pathogenic avian influenza
Cats,0,0,0,Virus,United States of America,30.675,-96.392,September,Monsoon,43,Other,SARS-CoV-2 in animals
Birds,0,1,0,Virus,Malta,35.8701,14.4289,May,Summer,25640,Farm,Newcastle disease
Cattle,0,0,0,Virus,Israel,32.6276753012,34.9452791674,August,Monsoon,700,Farm,Foot and mouth disease
Cattle,0,0,0,Virus,Israel,32.686911175,35.5731158129,March,Summer,650,Village,Foot and mouth disease
Camelidae,0,0,0,Virus,Mongolia,47.243488,103.680698,May,Summer,0,Not applicable,Foot and mouth disease
Birds,0,0,0,Virus,Bulgaria,43.7166,28.2359,February,Winter,4181,Village,Newcastle disease
Mallard,1,0,0,Virus,Iceland,64.247511,-15.193857,July,Monsoon,0,Not applicable,Highly pathogenic avian influenza
Wildlife (species unspecified),1,0,0,Virus,Georgia,41.62,41.59,February,Winter,10,Not applicable,Highly pathogenic avian influenza
Birds,0,1,0,Virus,Dominican (Rep.),19.452204,-70.615914,November,Post-Monsoon,284468,Farm,Newcastle disease
Birds,0,0,0,Virus,Burkina Faso,12.4013,-1.5785,July,Monsoon,280995,Farm,Highly pathogenic avian influenza
Swine,0,0,0,Virus,Russia,56.4596,41.7927,July,Monsoon,36,Backyard,African swine fever
Cats,0,0,0,Virus,France,46.45964911,-0.78859276,November,Post-Monsoon,1,Not applicable,Rabies
Laridae (unidentified),1,0,0,Virus,Portugal,39.14555,-9.37525,September,Monsoon,0,Other,Highly pathogenic avian influenza
Indian prawn,0,0,1,Virus,Saudi Arabia,21.7054,40.6844,February,Winter,3000,Farm,White spot disease
Cattle,0,0,0,Virus,Egypt,30.48,30.17,August,Monsoon,484,Farm,Bluetongue
Birds,0,1,0,Virus,Hungary,46.886865,20.593589,May,Summer,425605,Farm,Highly pathogenic avian influenza
Birds,0,1,0,Virus,Bulgaria,41.4883,24.8528,March,Summer,127,Backyard,Newcastle disease
Sea otter,1,0,0,Virus,Japan,43.3302,145.5827,May,Summer,0,Not applicable,Highly pathogenic avian influenza
Equidae,0,0,0,Virus,Nigeria,10.8049,7.6419,October,Post-Monsoon,144,Farm,African horse sickness
Goats,0,0,0,Virus,Italy,38.97016,8.63393,October,Post-Monsoon,1088,Farm,Bluetongue
Anatidae (unidentified),1,0,0,Virus,Germany,54.333592,12.890997,December,Winter,0,Not applicable,Highly pathogenic avian influenza
Swine,0,0,0,Virus,Russia,55.937338,93.172779,October,Post-Monsoon,1083,Farm,African swine fever
Mustelidae,0,0,0,Virus,Poland,54.336666,18.428005,December,Winter,8000,Farm,SARS-CoV-2 in animals
Swine,0,0,0,Virus,Russia,52.024537,34.473374,September,Monsoon,9,Backyard,African swine fever
Cattle,0,0,0,Virus,China (People's Rep. of),38.177,77.253,November,Post-Monsoon,154,Backyard,Foot and mouth disease
Cattle,0,0,0,Bacterium,Palestinian Territory,32.22,35.27,November,Post-Monsoon,39,Farm,Anthrax
Common carp,0,0,1,Virus,Iraq,33.39236,43.56524,November,Post-Monsoon,155850,Cage,Koi herpesvirus
Birds,0,1,0,Virus,Hungary,46.238856,17.53814,November,Post-Monsoon,3370,Farm,Highly pathogenic avian influenza
Cattle,0,0,0,Virus,Kyrgyzstan,42.24,72.98,August,Monsoon,40,Village,Foot and mouth disease
Cattle,0,0,0,Virus,Palestinian Territory,31.621389,35.10222,December,Winter,1400,Farm,Foot and mouth disease
Swine,0,0,0,Virus,Cambodia,13.83,107.05,April,Summer,2605,Village,African swine fever
Cattle,0,0,0,Virus,Zimbabwe,-16.91848,30.07884,December,Winter,9034,Village,Foot and mouth disease
Birds,0,1,0,Virus,India,20.793232,70.855979,January,Winter,220,Backyard,Highly pathogenic avian influenza
Mute Swan,1,0,0,Virus,Moldova,47.2148,28.6985,January,Winter,0,Body of water,Highly pathogenic avian influenza
Cattle,0,0,0,Virus,Malawi,-13.96189,33.2345,April,Summer,100000,Village,Foot and mouth disease
Mute Swan,1,0,0,Virus,United Kingdom,51.531452,-3.01347,December,Winter,0,Other,Highly pathogenic avian influenza
Cattle,0,0,0,Virus,Sweden,56.18376188,15.36907363,February,Winter,4139,Farm,Bluetongue
Equidae,0,0,0,Virus,Romania,44.3209,28.284,December,Winter,9,Village,West Nile Fever
Walrus,1,0,0,Virus,Norway,76.576,25.1576,June,Monsoon,0,Other,Highly pathogenic avian influenza
Birds,0,1,0,Virus,Pakistan,30.17566,72.75006,August,Monsoon,3000,Farm,Highly pathogenic avian influenza
Wild boar,1,0,0,Virus,Poland,50.304561,21.344969,August,Monsoon,0,Not applicable,African swine fever
Atlantic salmon,0,0,1,Virus,United Kingdom,56.49,-5.76,November,Post-Monsoon,1826014,Cage,Infectious salmon anaemia virus
Cattle,0,0,0,Virus,Norway,58.1086,6.5831,March,Summer,638,Farm,Bluetongue
Cattle,0,0,0,Virus,Botswana,-18.61333,22.10778,September,Monsoon,40432,Village,Foot and mouth disease
Birds,0,1,0,Virus,Ireland,51.648484,-8.87768,March,Summer,153,Not applicable,Low pathogenic avian influenza
Rabbits,0,0,0,Virus,Norway,59.5568,9.248,January,Winter,25,Backyard,Rabbit haemorrhagic disease
Cattle,0,0,0,Virus,Mongolia,47.5217,118.242,September,Monsoon,0,Farm,Foot and mouth disease
Greylag Goose,1,0,0,Virus,United Kingdom,54.16,-4.48,October,Post-Monsoon,0,Other,Highly pathogenic avian influenza
Birds,0,1,0,Virus,Nepal,27.65584,85.44988,March,Summer,274677,Farm,Highly pathogenic avian influenza
Accipitridae (unidentified),1,0,0,Virus,Germany,53.55,10.11,August,Monsoon,0,Not applicable,West Nile Fever
Cattle,0,0,0,Virus,Kazakhstan,52.32,77.13,May,Summer,832,Village,Infectious bovine rhinotracheitis/infectious pustular vulvovaginitis
Wild boar,1,0,0,Virus,Ukraine,51.771587,33.465935,October,Post-Monsoon,92,Farm,African swine fever
Common Teal,1,0,0,Virus,Netherlands,52.0028,5.1186,March,Summer,0,Village,Highly pathogenic avian influenza
Birds,0,0,0,Virus,Palestinian Territory,31.82688,35.110169,March,Summer,40,Backyard,Highly pathogenic avian influenza
Accipitridae (unidentified),1,0,0,Virus,Germany,51.29,13.11,September,Monsoon,1,Backyard,West Nile Fever
Accipitridae (unidentified),1,0,0,Virus,Germany,52.55,13.26,November,Post-Monsoon,0,Not applicable,Highly pathogenic avian influenza
Wild boar,1,0,0,Virus,Russia,55.66676,49.684206,October,Post-Monsoon,0,Forest,African swine fever
Cattle,0,0,0,Virus,Argentina,-27.49,-58.54,February,Winter,5498,Farm,Foot and mouth disease
Swine,0,0,0,Virus,China (People's Rep. of),40.037507,119.810676,December,Winter,245,Other,African swine fever
Birds,0,0,0,Virus,Togo,6.5048,1.1839,June,Monsoon,35000,Farm,Highly pathogenic avian influenza
Cattle,0,0,0,Virus,Russia,53.277093,52.057739,November,Post-Monsoon,7763,Backyard,Lumpy skin disease
Accipitridae (unidentified),1,0,0,Virus,Germany,51.6,13.25,April,Summer,0,Not applicable,Highly pathogenic avian influenza
